,App,Time_Spent,Age,Gender
,Instagram,60,18,Male
,Tik Tok,73,17,Male
,Instagram,87,22,Male
,Instagram,360,18,Male
,Tik Tok,231,20,Male
,Tik Tok,237,17,Female
,Instagram,247,18,Female
,Tik Tok,124,19,Female
,Instagram,140,18,Male
,Instagram,244,19,Male
,Instagram,99,23,Male
,Instagram,422,19,Female
,Tik Tok,332,23,Female
,Instagram,348,19,Female
,Tik Tok,233,22,Female
,Tik Tok,244,23,Female
,Tik Tok,133,26,Female
,Tik Tok,412,17,Female
,Instagram,213,19,Male
,Instagram,700,18,Male
,Instagram,399,18,Male
,Tik Tok,409,18,Male
,Tik Tok,416,18,Male
,Tik Tok,360,18,Female
,Tik Tok,637,18,Female
,Tik Tok,447,32,Female
,Instagram,577,18,Male
,Instagram,653,18,Male
,Instagram,644,196,Male
,Tik Tok,360,20,Female
,Tik Tok,386,17,Male
,Tik Tok,243,19,Female
,Instagram,87,21,Male
,Tik Tok,234,17,Female
,Tik Tok,436,18,Male
,Tik Tok,180,18,Male
,Tik Tok,297,17,Female
,Tik Tok,190,18,Male
,Instagram,178,18,Male
,Tik Tok,234,23,Male
,Instagram,186,18,Female
,Instagram,234,23,Female
,Tik Tok,176,22,Male
,Instagram,330,21,Female
,Instagram,245,19,Male
,Instagram,443,23,Male
,Instagram,230,20,Female
,Tik Tok,332,22,Male
,Tik Tok,222,19,Male
,Instagram,134,19,Female
,Instagram,345,23,Female
,Tik Tok,532,23,Female
,Instagram,278,24,Female
,Tik Tok,234,23,Male
,Instagram,203,20,Female
,Tik Tok,274,23,Male
,Instagram,333,23,Male
,Tik Tok,234,19,Female
,Instagram,167,18,Female
,Tik Tok,182,19,Male
,Instagram,234,23,Male
,Instagram,56,17,Male
,Tik Tok,72,18,Female
,Tik Tok,342,22,Female
,Instagram,88,17,Male
,Tik Tok,322,20,Female
,Tik Tok,162,19,Male
,Instagram,192,18,Female
,Tik Tok,208,19,Male
,Tik Tok,243,20,Male
,Tik Tok,192,18,Female
,Tik Tok,56,19,Male
,Tik Tok,78,17,Male
,Instagram,99,18,Male
,Instagram,110,18,Male
,Tik Tok,65,18,Male
,Instagram,233,22,Male
,Tik Tok,307,18,Male
,Tik Tok,274,19,Male
,Tik Tok,484,19,Female
,Instagram,340,22,Female
,Instagram,493,15,Male
,Instagram,149,20,Female
,Instagram,231,19,Female
,Instagram,391,16,Male
,Tik Tok,345,23,Female
,Tik Tok,372,24,Male
,Instagram,691,15,Female
,Tik Tok,176,17,Female
,Tik Tok,172,17,Female
,Instagram,83,24,Male
,Tik Tok,254,22,Female
,Tik Tok,172,17,Male
,Tik Tok,233,22,Female
,Instagram,461,17,Male
,Instagram,471,19,Male
,Instagram,123,18,Female
,Tik Tok,261,17,Female
,Tik Tok,440,20,Female 
,Tik Tok,271,18,Male
,Instagram,624,17,Female
,Tik Tok,233,19,Male
,Tik Tok,230,19,Female
,Instagram,268,18,Female
,Tik Tok,361,17,Female
,Tik Tok,168,18,Male
,Tik Tok,160,18,Female
,Tik Tok,180,18,Female
,Tik Tok,134,17,Female
,Instagram,160,18,Female
,Tik Tok,180,17,Female
,Tik Tok,70,18,Female
,Instagram,16,50,Female
,Instagram,320,18,Female
,Instagram,5,18,Female